food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium,cholesterol
"ALCOHOLIC BEV,TEQUILA SUNRISE,CND",110.0,0.3,11.3,0.1,0.0,4.465999999999999,57.0,0.0
"ALCOHOLIC BEV,WHISKEY SOUR",149.0,0.0,13.17,0.03,0.0,2.0693999999999995,20.0,0.0
"ALCOHOLIC BEV,WHISKEY SOUR,CND",119.0,0.0,13.4,0.0,0.1,13.011999999999995,44.0,0.0
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",153.0,0.06,12.82,0.06,0.0,12.78,61.0,0.0
"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",164.0,0.1,15.85,0.02,0.0,15.81,47.0,0.0
"ALCOHOLIC BEV,WINE,COOKING",50.0,0.5,6.3,0.0,0.0,1.55,626.0,0.0
"ALCOHOLIC BEV,WINE,DSSRT,DRY",152.0,0.2,11.67,0.0,0.0,1.09,9.0,0.0
"ALCOHOLIC BEV,WINE,DSSRT,SWT",160.0,0.2,13.69,0.0,0.0,7.78,9.0,0.0
"ALCOHOLIC BEV,WINE,LT",49.0,0.07,1.17,0.0,0.0,1.15,7.0,0.0
"ALCOHOLIC BEV,WINE,TABLE,ALL",83.0,0.07,2.72,0.0,0.0,0.79,5.0,0.0
"ALCOHOLIC BEV,WINE,TABLE,RED",85.0,0.07,2.61,0.0,0.0,0.62,4.0,0.0
"ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA",85.0,0.07,2.79,0.0,0.0,1.358,3.6,0.8
"ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY",86.0,0.07,3.69,0.0,0.0,1.358,3.8,1.6
"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET FRANC",83.0,0.07,2.45,0.0,0.0,1.426,3.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET SAUVIGNON",83.0,0.07,2.6,0.0,0.0,1.426,3.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,RED,CARIGNANE",74.0,0.07,2.4,0.0,4.936,1.636,169.4,11.4
"ALCOHOLIC BEV,WINE,TABLE,RED,CLARET",83.0,0.07,3.01,0.0,0.0,1.426,3.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY",78.0,0.07,2.38,0.0,4.936,0.474,1.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,RED,LEMBERGER",80.0,0.07,2.46,0.0,3.096,1.234,2.8,1.8
"ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT",83.0,0.07,2.51,0.0,0.0,0.62,4.0,0.0
"ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE",88.0,0.07,2.64,0.0,1.84,0.5980000000000001,2.8,0.8
"ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH",85.0,0.07,2.68,0.0,0.0,1.358,3.6,0.8
"ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR",82.0,0.07,2.31,0.0,0.0,1.426,3.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,RED,SANGIOVESE",86.0,0.07,2.62,0.0,0.0,1.358,3.6,1.6
"ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH",83.0,0.07,2.58,0.0,0.0,1.426,3.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,RED,ZINFANDEL",88.0,0.07,2.86,0.0,1.84,0.5980000000000001,2.8,0.8
"ALCOHOLIC BEV,WINE,TABLE,WHITE",82.0,0.07,2.6,0.0,0.0,0.96,5.0,0.0
"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHARDONNAY",84.0,0.07,2.16,0.0,0.0,0.96,5.0,0.0
"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHENIN BLANC",80.0,0.07,3.31,0.0,3.096,1.234,3.8,1.8
"ALCOHOLIC BEV,WINE,TABLE,WHITE,FUME BLANC",82.0,0.07,2.27,0.0,0.0,1.426,3.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,WHITE,GEWURZTRAMINER",81.0,0.07,2.6,0.0,0.0,1.426,3.8,3.2
"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST",112.0,0.07,13.39,0.0,1.3,7.714,287.6,3.8
"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST,GEWURZTRAMINER",108.0,0.07,11.39,0.0,1.46,8.546000000000001,138.84,7.6
