food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium,cholesterol
"BREAD,PITA,WHITE,ENRICHED",275.0,9.1,55.7,1.2,2.2,1.3,536.0,0.0
"BREAD,PITA,WHITE,UNENR",275.0,9.1,55.7,1.2,2.2,6.906000000000001,536.0,0.0
"BREAD,PITA,WHOLE-WHEAT",262.0,9.8,55.89,1.71,6.1,2.87,527.0,0.0
"BREAD,POTATO",266.0,12.5,47.07,3.13,6.3,9.38,375.0,0.0
"BREAD,POUND CAKE TYPE,PAN DE TORTA SALVADORAN",390.0,7.06,51.29,17.45,1.7,18.1,390.0,24.4
"BREAD,PROT (INCL GLUTEN)",245.0,12.1,43.8,2.2,3.0,1.44,404.0,0.0
"BREAD,PROT,(INCLUDES GLUTEN),TSTD",270.0,13.2,48.1,2.4,3.3,1.44,444.0,0.0
"BREAD,PUMPERNICKEL",250.0,8.7,47.5,3.1,6.5,0.53,596.0,0.0
"BREAD,PUMPERNICKEL,TSTD",275.0,9.5,52.2,3.4,7.1,0.58,655.0,0.0
"BREAD,RAISIN,ENR,TSTD",297.0,8.6,56.9,4.8,4.7,6.18,377.0,0.0
"BREAD,RAISIN,ENRICHED",274.0,7.9,52.3,4.4,4.3,5.68,347.0,0.0
"BREAD,RAISIN,UNENRICHED",274.0,7.9,52.3,4.4,4.3,9.4,390.0,0.0
"BREAD,RED-CAL,OAT BRAN",201.0,8.0,41.3,3.2,12.0,3.52,459.0,0.0
"BREAD,RED-CAL,OAT BRAN,TSTD",239.0,9.5,49.2,3.8,14.3,4.2,547.0,0.0
"BREAD,RED-CAL,OATMEAL",210.0,7.6,43.3,3.5,4.0,4.326,388.0,0.0
"BREAD,RED-CAL,WHEAT",217.0,13.32,42.47,2.92,11.1,3.71,332.0,0.0
"BREAD,RED-CAL,WHITE",207.0,8.7,44.3,2.5,9.7,4.76,479.0,0.0
"BREAD,REDUCED-CALORIE,RYE",203.0,9.1,40.5,2.9,12.0,2.29,513.0,0.0
"BREAD,RICE BRAN",243.0,8.9,43.5,4.6,4.9,4.67,269.0,0.0
"BREAD,RICE BRAN,TOASTED",264.0,9.7,47.3,5.0,5.3,5.08,292.0,0.0
"BREAD,ROLL,MEXICAN,BOLLILO",318.0,10.65,55.77,5.8,2.2,3.55,506.0,1.0
"BREAD,RYE",259.0,8.5,48.3,3.3,5.8,3.85,603.0,0.0
"BREAD,RYE,TOASTED",284.0,9.4,53.1,3.6,6.4,4.23,664.0,0.0
"BREAD,SALVADORAN SWT CHS (QUESADILLA SALVADORENA)",374.0,7.12,47.84,17.12,0.7,24.9,510.0,59.0
"BREAD,WHEAT",274.0,10.67,47.54,4.53,4.0,5.73,473.0,0.0
"BREAD,WHEAT BRAN",248.0,8.8,47.8,3.4,4.0,9.68,486.0,0.0
"BREAD,WHEAT GERM,TOASTED",293.0,10.7,54.3,3.3,2.3,4.14,621.0,1.0
"BREAD,WHEAT,SPROUTED",188.0,13.16,33.88,0.0,5.3,2.63,474.0,0.0
"BREAD,WHEAT,SPROUTED,TSTD",205.0,14.3,36.82,0.0,5.7,2.86,515.0,0.0
"BREAD,WHITE WHEAT",238.0,10.66,43.91,2.15,9.2,5.0,478.0,0.0
"BREAD,WHITE,COMMLY PREP (INCL SOFT BREAD CRUMBS)",266.0,8.85,49.42,3.33,2.7,5.67,490.0,0.0
"BREAD,WHITE,COMMLY PREP,LO NA,NO SALT",267.0,8.2,49.6,3.6,2.3,4.31,298.0,1.0
"BREAD,WHITE,COMMLY PREP,TSTD",290.0,9.0,54.5,4.0,2.9,6.2,537.0,1.0
"BREAD,WHITE,COMMLY PREP,TSTD,LO NA NO SALT",293.0,9.0,54.4,4.0,4.040000000000001,6.786,376.0,1.0
"BREAD,WHITE,PREP FROM RECIPE,MADE W/NONFAT DRY MILK",274.0,7.7,53.6,2.6,2.0,9.836000000000002,336.0,0.0
"BREAD,WHOLE-WHEAT,COMM. PREPARED",252.0,12.45,42.71,3.5,6.0,4.34,455.0,0.0
"BREAD,WHOLE-WHEAT,PREP FROM RECIPE",278.0,8.4,51.4,5.4,6.0,3.84,346.0,0.0
"BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD",305.0,9.2,56.4,5.9,6.7,4.22,381.0,0.0
"BREADFRUIT SEEDS,BOILED",168.0,5.3,32.0,2.3,4.8,18.728,23.0,0.0
"BREADFRUIT SEEDS,RAW",191.0,7.4,29.24,5.59,5.2,8.959999999999999,25.0,0.0
"BREADFRUIT SEEDS,ROASTED",207.0,6.2,40.1,2.7,6.0,0.7899999999999999,28.0,0.0
"BREADFRUIT,RAW",103.0,1.07,27.12,0.23,4.9,11.0,2.0,0.0
"BREAKFAST BAR,CORN FLAKE CRUST W/FRUIT",377.0,4.4,72.9,7.5,2.1,35.1,297.0,0.0
"BREAKFAST BARS,OATS,SUGAR,RAISINS,COCNT (INCL GRANOLA BAR)",464.0,9.8,66.7,17.6,3.1,27.52,251.0,0.0
"BREAKFAST ITEMS,BISCUIT W/EGG&SAUSAGE",312.0,11.13,21.05,20.77,0.2,0.95,672.0,161.0
"BREAKFAST TART,LOFAT",372.0,3.99,76.8,5.99,1.5,4.87,361.0,0.0
BRITANNIA - GOOD DAY - 38g,494.0,7.0,67.0,22.0,3.4686,22.0,253.22,5.6
"BROADBEANS (FAVA BEANS),MATURE SEEDS,RAW",341.0,26.12,58.29,1.53,25.0,5.7,13.0,0.0
"BROADBEANS (FAVA BNS),MATURE SEEDS,CKD,BLD,W/SALT",110.0,7.6,19.65,0.4,5.4,1.82,241.0,0.0
"BROADBEANS (FAVA BNS),MATURE SEEDS,CKD,BLD,WO/SALT",110.0,7.6,19.65,0.4,5.4,1.82,5.0,0.0
"BROADBEANS (FAVA BNS),MATURE SEEDS,CND",71.0,5.47,12.41,0.22,3.7,8.5,453.0,0.0
"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",62.0,4.8,10.1,0.5,4.36,4.062,277.0,0.0
"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",62.0,4.8,10.1,0.5,3.6,5.577999999999999,41.0,0.0
"BROADBEANS,IMMAT SEEDS,RAW",72.0,5.6,11.7,0.6,4.2,3.568,50.0,0.0
"BROCCOLI RAAB,CKD",33.0,3.83,3.12,0.52,2.8,0.62,56.0,0.0
"BROCCOLI RAAB,RAW",22.0,3.17,2.85,0.49,2.7,0.38,33.0,0.0
"BROCCOLI,CHINESE,COOKED",22.0,1.14,3.81,0.72,2.5,0.84,7.0,0.0
"BROCCOLI,CHINESE,RAW",30.0,1.2,4.67,0.76,2.6,0.88,7.0,0.0
"BROCCOLI,CKD,BLD,DRND,W/SALT",35.0,2.38,7.18,0.41,3.3,1.39,262.0,0.0
"BROCCOLI,CKD,BLD,DRND,WO/SALT",35.0,2.38,7.18,0.41,3.3,1.39,41.0,0.0
"BROCCOLI,FLOWER CLUSTERS,RAW",28.0,2.98,5.06,0.35,2.3,1.48,27.0,0.0
"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",28.0,3.1,5.35,0.12,3.0,1.47,260.0,0.0
"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT",28.0,3.1,5.35,0.12,3.0,1.47,11.0,0.0
"BROCCOLI,FRZ,CHOPD,UNPREP",26.0,2.81,4.78,0.29,3.0,1.35,24.0,0.0
"BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,W/SALT",28.0,3.1,5.35,0.11,3.0,1.44,260.0,0.0
"BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,WO/SALT",28.0,3.1,5.36,0.11,3.0,1.47,24.0,0.0
"BROCCOLI,FRZ,SPEARS,UNPREP",29.0,3.06,5.35,0.34,3.0,1.47,17.0,0.0
"BROCCOLI,LEAVES,RAW",28.0,2.98,5.06,0.35,2.3,1.48,27.0,0.0
"BROCCOLI,RAW",34.0,2.82,6.64,0.37,2.6,1.7,33.0,0.0
"BROCCOLI,STALKS,RAW",28.0,2.98,5.24,0.35,2.66,2.0040000000000004,27.0,0.0
"BROTWURST,PORK,BF,LINK",323.0,14.3,2.98,27.8,0.0,2.98,1112.0,63.0
"BRUSSELS SPROUTS,CKD,BLD,DRND,W/SALT",36.0,2.55,7.1,0.5,2.6,1.74,257.0,0.0
"BRUSSELS SPROUTS,CKD,BLD,DRND,WO/SALT",36.0,2.55,7.1,0.5,2.6,1.74,21.0,0.0
"BRUSSELS SPROUTS,FRZ,CKD,BLD,DRND,W/SALT",42.0,3.64,8.32,0.39,4.1,2.08,259.0,0.0
"BRUSSELS SPROUTS,FRZ,CKD,BLD,DRND,WO/SALT",42.0,3.64,8.32,0.39,4.1,2.08,15.0,0.0
"BRUSSELS SPROUTS,FRZ,UNPREP",41.0,3.78,7.86,0.41,3.8,5.832600000000001,10.0,0.0
"BRUSSELS SPROUTS,RAW",43.0,3.38,8.95,0.3,3.8,2.2,25.0,0.0
BUCKWHEAT,343.0,13.25,71.5,3.4,10.0,0.49,1.0,0.0
"BUCKWHEAT FLR,WHOLE-GROAT",335.0,12.62,70.59,3.1,10.0,2.6,11.0,0.0
"BUCKWHEAT GROATS,RSTD,CKD",92.0,3.38,19.94,0.62,2.7,0.9,4.0,0.0
"BUCKWHEAT GROATS,RSTD,DRY",346.0,11.73,74.95,2.71,10.3,8.53,11.0,0.0
"BUFFALO,FREE RANGE,TOP RND STEAK,CKD (SHOSHONE BANNOCK)",146.0,32.51,0.0,1.8,0.0,0.0,41.0,82.0
"BUFFALO,FREE RANGE,TOP RND STEAK,RAW (SHOSHONE BANNOCK)",97.0,21.44,0.0,1.3,0.0,0.0,43.0,115.6
"BULGUR,COOKED",83.0,3.08,18.58,0.24,4.5,0.1,5.0,0.0
"BULGUR,DRY",342.0,12.29,75.87,1.33,12.5,0.41,17.0,0.0
"BURBOT,COOKED,DRY HEAT",115.0,24.76,0.0,1.04,0.0,0.074,124.0,77.0
"BURBOT,RAW",90.0,19.31,0.0,0.81,0.0,0.0,97.0,60.0
"BURDOCK ROOT,CKD,BLD,DRND,W/SALT",88.0,2.09,21.15,0.14,1.8,3.55,240.0,0.0
"BURDOCK ROOT,CKD,BLD,DRND,WO/SALT",88.0,2.09,21.15,0.14,1.8,3.55,4.0,0.0
"BURDOCK ROOT,RAW",72.0,1.53,17.34,0.15,3.3,2.9,5.0,0.0
"BURGER KING, CHSBRGR",286.0,14.57,23.71,14.81,1.0,4.49,602.0,45.0
"BURGER KING,CHICK STRIPS",292.0,18.2,20.49,15.25,1.3,0.0,859.0,44.0
"BURGER KING,CROISSAN'WICH W/ EGG & CHS",283.0,10.35,24.79,15.78,0.7,4.03,650.0,139.0
"BURGER KING,CROISSAN'WICH W/ SAUSAGE & CHS",376.0,13.73,23.0,25.45,0.7,3.36,782.0,43.0
"BURGER KING,CROISSAN'WICH W/ SAUSAGE,EGG & CHS",308.0,12.09,15.9,21.78,1.8,3.12,577.0,123.0
"BURGER KING,DOUBLE CHEESEBURGER",282.0,16.83,17.43,16.13,1.2400000000000002,4.17,562.0,109.4
"BURGER KING,DOUBLE WHOPPER,NO CHS",252.0,13.94,13.74,15.66,1.4,3.52,289.0,46.0
"BURGER KING,DOUBLE WHOPPER,W/ CHS",266.0,14.47,13.52,17.06,1.6,3.61,387.0,47.0
"BURGER KING,FRENCH FR",280.0,3.23,38.7,12.48,2.9,0.51,279.0,15.6
"BURGER KING,FRENCH TOAST STKS",349.0,6.0,41.21,17.74,1.4,9.89,428.0,0.0
"BURGER KING,HAMBURGER",261.0,14.85,26.76,10.55,1.0,5.6,461.0,35.0
"BURGER KING,HASH BROWN ROUNDS",302.0,2.8,29.37,19.3,2.3,0.63,568.0,0.0
"BURGER KING,ONION RINGS",417.0,3.86,43.58,25.23,2.7,5.43,776.0,22.0
"BURGER KING,ORIGINAL CHICK SNDWCH",286.0,12.14,26.22,14.69,2.4,3.02,638.0,31.0
"BURGER KING,PREMIUM FISH SNDWCH",260.0,10.29,26.69,12.45,0.9,3.53,602.0,31.0
"BURGER KING,VANILLA SHAKE",168.0,3.19,19.03,8.74,0.0,11.67,100.0,31.0
"BURGER KING,WHOPPER,NO CHS",233.0,10.74,18.55,12.84,1.8,4.22,313.0,30.0
"BURGER KING,WHOPPER,W/ CHS",250.0,11.19,16.7,15.33,1.0,4.11,453.0,36.0
"BURRITO, BEAN AND CHEESE, FROZEN",221.0,7.07,34.01,6.3,3.4,3.21,351.0,2.0
"BURRITO,BF & BEAN,FRZ",239.0,7.26,30.84,9.61,4.2,0.7,587.0,8.0
"BURRITO,BF & BEAN,MICROWAVED",298.0,8.73,38.95,11.94,6.9,1.36,659.0,9.0
"BUTTER OIL,ANHYDROUS",876.0,0.28,0.0,99.48,0.0,0.0,2.0,256.0
"BUTTER REPLCMNT,WO/FAT,PDR",373.0,2.0,89.0,1.0,0.0,5.3,1200.0,2.0
"BUTTER,LT,STK,W/SALT",499.0,3.3,0.0,55.1,0.0,0.0,450.0,106.0
"BUTTER,LT,STK,WO/SALT",499.0,3.3,0.0,55.1,0.0,0.0,36.0,106.0
"BUTTER,WHIPPED,W/ SALT",718.0,0.49,2.87,78.3,0.0,0.06,583.0,225.0
"BUTTER,WITH SALT",717.0,0.85,0.06,81.11,0.0,0.06,643.0,215.0
"BUTTER,WITHOUT SALT",717.0,0.85,0.06,81.11,0.0,0.06,11.0,215.0
"BUTTERBUR,(FUKI),RAW",14.0,0.39,3.61,0.04,0.76,2.572,7.0,0.0
"BUTTERBUR,CANNED",3.0,0.11,0.38,0.13,0.0,0.004,4.0,0.0
"BUTTERBUR,CKD,BLD,DRND,W/SALT",8.0,0.23,2.16,0.02,2.84,3.774,240.0,0.0
"BUTTERBUR,CKD,BLD,DRND,WO/SALT",8.0,0.23,2.16,0.02,2.68,3.5380000000000003,4.0,0.0
"BUTTERFISH,CKD,DRY HEAT",187.0,22.15,0.0,10.28,0.0,0.0,114.0,83.0
"BUTTERFISH,RAW",146.0,17.28,0.0,8.02,0.0,0.02,89.0,65.0
"BUTTERNUTS,DRIED",612.0,24.9,12.05,56.98,4.7,2.946,1.0,0.0
"Babyfood, Multigrain whole grain cereal, dry fortified",407.0,6.67,80.06,6.67,6.7,26.67,33.0,0.0
"Babyfood, beverage, GERBER GRADUATE FRUIT SPLASHERS",31.0,0.0,7.4,0.0,0.0,6.12,11.0,0.0
"Babyfood, meat, turkey sticks, junior",188.0,13.7,1.4,14.2,0.2,1.4,295.0,65.0
Badam Shakers,104.0,3.0,13.0,4.5,0.0,13.0,0.105,0.0
Badam drink mix - MTR - 500g,382.0,4.8,80.0,4.8,1.1,76.0,0.132,0.0
Bagels,274.0,9.8,55.2,3.122,2.3,6.0,344.0,0.0
Bagrry's - 500g,403.0,9.67,70.648,6.0,10.7,5.0,117.6776,15.6
Baked Churro Bites,43.0,1.0,4.0,2.0,0.0,0.0,474.8,2.4
"Baking chocolate, unsweetened, squares",642.0,14.32,28.42,52.31,16.6,0.91,24.0,2.0
Bambino Vermicelli - 90g,361.0,10.5,77.5,1.0,3.0,0.0,0.0,0.0
Banana,116.0,43.4,47.1,16.1,6.5,44.1,307.0,13.0
Banana Chips - Ela,519.0,2.3,58.4,33.6,7.7,35.34,0.015,2.0
Banana chips,548.0,1.7,62.92,32.0,2.8,0.0,137.01,7.4
Banana chips - Kozhi,511.0,2.5,65.7,27.3,7.9,34.56,146.702,4.4
Barbara Dee,515.0,3.9,67.1,26.72,2.0,35.8,290.0,9.4
Barramundi - The Better Fish,88.0,18.584,0.0,1.327,0.0,0.0,196.8,68.8
Barritas alteza de platano y chocolate,424.0,5.8,69.0,13.0,10.7,29.0,0.4,0.8
Basil seed drink,150.0,0.0,38.0,0.0,0.0,36.0,9.6,0.0
Bavaria mango passion,148.8,0.188,22.916,0.0,0.0,20.0,0.2247999999999999,0.0
Bear Naked,423.0,6.6,66.9,13.826,7.0,35.2,200.0,11.4
Beef Steak,157.0,27.5,32.4,9.4,0.5,24.6,180.0,68.0
Bestprice Udon - Topvalu - 71g,240.0,50.8,1.8,6.2,0.0,0.1,131.4,122.0
"Beverages, OCEAN SPRAY, Cran Raspberry Juice Drink",49.0,0.28,11.96,0.0,0.6,11.4,14.0,0.0
"Beverages, OCEAN SPRAY, Cranberry-Apple Juice Drink, bottled",56.0,0.29,13.68,0.0,0.6,13.12,19.0,0.0
"Beverages, OCEAN SPRAY, White Cranberry Peach",45.0,0.13,11.88,0.01,0.6,11.32,11.0,0.0
Bhindi - Ashoka,35.0,1.0,6.0,0.542,1.4,1.952,215.0,2.2
Bhujia,609.0,14.0,37.0,45.0,6.0,0.0,1.995,0.0
Bhujia - Haldiram - 400,571.0,11.429,42.857,40.0,4.3,2.857,2.0,0.0
Bhujia sev - Haldiram's - 400g,592.0,18.85,37.14,43.5,4.688000000000001,0.0,91.2102,0.0
Bikaneri Bhujia - Kurkure - 18g,627.0,11.8,33.5,49.5,11.14,1.0,2.596,0.0
Bikano Rasgolla,320.0,2.88,74.72,0.0,1.778,74.72,0.1,0.0
Bingo Mad Angles PIZZA..AAAAH - ITC - 36.5g,140.4,1.56,32.186,17.424,0.52,1.376,0.0,104.2
Biscuits,263.0,6.1,47.4,6.76,3.33,19.0,670.0,38.2
Biscute - good,140.4,1.56,32.186,17.424,0.52,1.376,0.0,104.2
Bisleri - 500ml,140.4,1.56,32.186,17.424,0.52,1.376,0.0,104.2
Bisleri Water - 250ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Bourbon,470.0,5.2,75.8,16.2,1.4,42.8,0.0,3.6
Blueberries,347.0,2.333,82.667,0.0,3.28,43.333,0.0,0.0
Blueberry Cream Muffins,264.0,4.0,32.0,13.0,0.0,13.0,347.2,24.2
Boisson soja,41.0,1.9,2.8,0.8,0.4,1.95,0.15,0.0
Bolacha Manteiga Belgas - Chabrior,478.0,7.1,72.2,17.6,0.0,32.1,0.6,3.6
Boost - 500g,373.0,0.0,80.0,2.5,0.0,9.5,215.2,0.0
Bounty minis - Mars nederland - 427.5g,140.0,11.8708,15.458000000000002,7.4,5.840000000000001,14.1,0.07,0.0
Bourbon,475.0,6.0,17.1,74.3,7.18,9.0,1.0,16.0
Bourbon - Britannia - 120g,488.0,72.0,7.7,20.0,0.0,2.2,37.5,34.6
Bourbon - Britannia - 60g,488.0,5.0,72.0,20.0,1.4286,37.5,0.0,3.6
Bourn Vita,455.0,6.7,73.5,15.1,7.2,34.2,0.705,4.4
Bournvita biscuit - Cadbury,457.0,7.3,73.6,15.3,7.2,30.0,0.902,4.4
Bovonto,68.0,0.0,17.0,0.0,0.0,17.0,1.4,2.0
Bread,467.0,4.5,95.5,49.5,8.9,28.9,577.0,273.0
Bread - iD,285.0,0.0,0.8,2.9,0.0,1.5,55.2,99.8
Bread sticks Sesame,430.0,12.31,75.82,7.87,3.1,4.4,0.125,0.8
Bread sticks herb,395.0,8.2,68.5,9.8,8.352,2.7,0.0,0.0
"Bread, french",272.0,10.75,51.88,2.42,2.2,4.62,602.0,0.0
Breakfast Protein Bar Apricot Fig - Yoga Bar - 50g,444.0,7.0,2.7,15.0,18.4,61.0,16.4,16.0
Breakfast Tart,372.0,4.0,76.8,3.2299999999999995,1.5,4.9,361.0,0.0
Breakfast protein bar - Yoga Bar - 50g,430.0,16.0,62.2,14.6,13.8,15.8,0.0,0.8
Britannia - 78g,0.0,8.4,78.9,10.7,0.0,21.9,0.0,0.0
Britannia Good day Chocolate Cookies,512.0,6.1,68.0,24.0,2.0940000000000003,33.4,0.51,1.4
Britannia Nutri Choice Digestive - 50g,497.0,0.0,8.0,13.226,0.0,2.4,68.4,77.6
Britannia Nutrichoice Digestive - britannnia - 250g,21.0,6.0,2.5,10.0,14.5,68.0,8.0,0.0
Britannia Treat,492.0,5.0,73.0,20.0,2.2286,36.5,0.0,4.2
Britannia cake - 120g,405.0,5.0,50.0,17.0,0.0,26.5,308.8,22.2
Britannia treat Croissant Mixed Fruit - 47g,404.0,5.5,59.0,16.2,9.68,26.2,2.0,0.0
Broccoli,219.0,32.6,49.5,30.3,9.4,23.5,771.0,138.0
Brown Bread,248.0,7.8,48.0,1.7,5.0,2.4,1.125,0.0
Brown Bread - Kwality - 400g,264.0,5.848,15.428,11.813999999999998,1.42,8.422,488.0,144.0
Brown bread - Britannia - 400g,246.0,8.4,51.0,1.6,3.0,1.9,1.405,0.0
Bru instant Coffee,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Brunos,4.0,7.8,50.3,10.0,5.731999999999999,50.0,0.0,0.0
Brut - 283g,283.0,10.48,40.316,9.752,2.18,31.196000000000005,407.0,79.2
Budweiser Beats - AB InBev - 250ml,39.0,0.0,9.0,0.0,0.36,9.0,1.6,0.0
Bullet coffee - Mad coffee,2100.0,20.0,50.0,220.0,20.0,19.8,10.0,307.4
Butter,315.0,37.8,25.5,15.6,1.2,1.0,555.0,119.0
Butter Bite,150.0,2.0,20.0,7.0,1.3658,5.0,1.0,0.0
Butter Bonn Biscuits,503.0,7.2,74.3,19.4,0.9,26.5,0.87,0.0
Butter Chakli - Charliee - 105g,533.0,6.67,60.0,30.0,0.32,3.33,6.67,0.0
Butter cookies,481.0,7.5,68.9,19.5,1.98,25.0,344.6,0.0
Buttermilk Pancakes,450.0,15.0,64.0,14.0,8.0,10.0,441.4,0.0
"CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,W/SALT",12.0,1.56,1.78,0.16,1.0,0.83,270.0,0.0
"CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,WO/SALT",12.0,1.56,1.78,0.16,1.0,0.83,34.0,0.0
"CABBAGE,CHINESE (PAK-CHOI),RAW",13.0,1.5,2.18,0.2,1.0,1.18,65.0,0.0
"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,W/SALT",14.0,1.5,2.41,0.17,1.7,2.4752,245.0,0.0
"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,WO/SALT",14.0,1.5,2.41,0.17,1.7,2.34,9.0,0.0
"CABBAGE,CHINESE (PE-TSAI),RAW",16.0,1.2,3.23,0.2,1.2,1.41,9.0,0.0
"CABBAGE,CKD,BLD,DRND,WO/SALT",23.0,1.27,5.51,0.06,1.9,2.79,8.0,0.0
"CABBAGE,COMMON (DANISH,DOMESTIC,&POINTED TYPES),STORED,RAW",24.0,1.21,5.37,0.18,2.3,3.652,18.0,0.0
"CABBAGE,COMMON,CKD,BLD,DRND,W/SALT",23.0,1.27,5.51,0.06,1.9,2.79,255.0,0.0
"CABBAGE,COMMON,FRESHLY HARVEST,RAW",24.0,1.21,5.37,0.18,2.3,3.652,18.0,0.0
"CABBAGE,JAPANESE STYLE,FRSH,PICKLED",30.0,1.6,5.67,0.1,3.1,1.3,277.0,0.0
"CABBAGE,KIMCHI",15.0,1.1,2.4,0.5,1.6,1.06,498.0,0.0
"CABBAGE,MUSTARD,SALTED",28.0,1.1,5.63,0.1,3.1,1.4,717.0,0.0
"CABBAGE,NAPA,COOKED",12.0,1.1,2.23,0.17,0.96,2.03,11.0,0.0
"CABBAGE,RAW",25.0,1.28,5.8,0.1,2.5,3.2,18.0,0.0
"CABBAGE,RED,CKD,BLD,DRND,W/SALT",29.0,1.51,6.94,0.09,2.6,3.32,244.0,0.0
"CABBAGE,RED,CKD,BLD,DRND,WO/SALT",29.0,1.51,6.94,0.09,2.6,3.32,28.0,0.0
"CABBAGE,RED,RAW",31.0,1.43,7.37,0.16,2.1,3.83,27.0,0.0
"CABBAGE,SAVOY,CKD,BLD,DRND,W/SALT",24.0,1.8,5.41,0.09,2.8,2.59,260.0,0.0
"CABBAGE,SAVOY,CKD,BLD,DRND,WO/SALT",24.0,1.8,5.41,0.09,2.8,2.444,24.0,0.0
"CABBAGE,SAVOY,RAW",27.0,2.0,6.1,0.1,3.1,2.27,28.0,0.0
"CAKE,ANGELFOOD,COMMLY PREP",258.0,5.9,57.8,0.8,1.5,41.8862,749.0,0.0
"CAKE,ANGELFOOD,DRY MIX",366.0,6.4,86.13,0.27,0.5,61.33,822.0,0.0
"CAKE,ANGELFOOD,DRY MIX,PREP",257.0,6.1,58.7,0.3,0.2,30.51,511.0,0.0
"CAKE,BOSTON CRM PIE,COMMLY PREP",252.0,2.4,42.9,8.5,1.4,36.11,254.0,37.0
"CAKE,CHERRY FUDGE W/CHOC FRSTNG",264.0,2.4,38.0,12.5,0.5,32.94,164.0,42.0
"CAKE,CHOC,COMMLY PREP W/ CHOC FRSTNG,IN-STORE BAKERY",389.0,3.48,52.84,20.05,2.2,39.96,348.0,22.0
"CAKE,CHOC,PREP FROM RECIPE WO/FRSTNG",371.0,5.3,53.4,15.1,1.6,23.92,315.0,58.0
"CAKE,FRUITCAKE,COMMLY PREP",324.0,2.9,61.6,9.1,3.7,27.42,101.0,5.0
"CAKE,GINGERBREAD,DRY MIX",437.0,4.4,74.6,13.8,1.7,46.62,657.0,0.0
"CAKE,GINGERBREAD,PREP FROM RECIPE",356.0,3.9,49.2,16.4,4.3,23.868,327.0,32.0
"CAKE,PNAPPL UPSIDE-DOWN,PREP FROM RECIPE",319.0,3.5,50.5,12.1,0.8,9.686,319.0,22.0
"CAKE,POUND,BIMBO BAKERIES USA,PANQUE CASERO,HOME BKD STYLE",418.0,6.62,48.94,21.7,1.0,28.77,357.0,30.6
"CAKE,POUND,COMMLY PREP,BUTTER (INCLUDES FRSH & FROZEN)",353.0,5.0,53.64,13.96,0.6,33.36,377.0,66.0
"CAKE,POUND,COMMLY PREP,FAT-FREE",283.0,5.4,61.0,1.2,1.1,34.34,341.0,0.0
"CAKE,POUND,COMMLY PREP,OTHER THAN ALL BUTTER,ENR",389.0,5.2,52.5,17.9,1.0,10.28,400.0,58.0
"CAKE,POUND,COMMLY PREP,OTHER THAN ALL BUTTER,UNENR",389.0,5.2,52.5,17.9,1.0,10.28,400.0,58.0
"CAKE,PUDDING-TYPE,CARROT,DRY MIX",415.0,5.1,79.2,9.8,7.340000000000001,38.56,567.0,0.0
"CAKE,PUDDING-TYPE,CHOC,DRY MIX",391.0,4.6,80.16,8.14,2.3,39.53,767.0,0.0
"CAKE,PUDDING-TYPE,GERMAN CHOC,DRY MIX",350.0,4.17,81.25,3.24,2.1,42.13,841.0,0.0
"CAKE,PUDDING-TYPE,MARBLE,DRY MIX",416.0,3.4,79.5,11.7,2.9,35.71,519.0,0.0
"CAKE,PUDDING-TYPE,WHITE,ENR,DRY MIX",423.0,3.9,80.9,9.5,0.7,48.95,665.0,0.0
"CAKE,PUDDING-TYPE,WHITE,UNENR,DRY MIX",423.0,3.9,81.0,9.5,0.7,36.55,665.0,0.0
"CAKE,PUDDING-TYPE,YEL,DRY MIX",423.0,4.0,80.0,9.8,0.7,44.21,860.0,0.0
"CAKE,SHORTCAKE,BISCUIT-TYPE,PREP FROM RECIPE",346.0,6.1,48.5,14.2,8.68,10.48,506.0,3.0
"CAKE,SNACK CAKES,CREME-FILLED,CHOC W/ FRSTNG",399.0,3.63,60.31,15.93,3.2,37.76,332.0,0.0
"CAKE,SNACK CAKES,CREME-FILLED,SPONGE",374.0,3.47,64.03,11.54,1.0,37.3,470.0,41.0
"CAKE,SNK CAKES,CREME-FILLED,CHOC W/ FRSTNG,L-F,W/ ADD FIBER",409.0,3.71,69.37,13.0,14.9,33.42,483.0,93.0
"CAKE,SNK CAKES,NOT CHOC,W/ ICING OR FILLING,L-F,W/ ADD FIBER",412.0,3.71,74.3,11.14,14.9,29.71,316.0,93.0
"CAKE,SPONGE,COMMLY PREP",290.0,5.4,61.0,2.7,0.5,36.66,623.0,102.0
"CAKE,SPONGE,PREP FROM RECIPE",297.0,7.3,57.7,4.3,5.2,4.48,228.0,170.0
