food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium
Soulfull Ragi Bites - 250g,"1,862 kj
(445 kcal)",7 g,77.5 g,12 g,,24 g,0.17 g
cake nuts and resins - britannia - 60g,"1,715 kj
(410 kcal)","66,000 mg",7.7 g,18 g,0 g,2.2 g,56 g
safari - Gandour - 26g,"2,054 kj
(491 kcal)",4.3 g,21 g,23 g,,44 g,0.402 g
BB cream - sugar,,,,,,,0%
moisturizer - mamaearth - 80g,,,,,,,0%
Cadbury - 130g,,,,,,,0%
Doritos Masala Mayhem Flavour - PepsiCo - 25 g,24.4 g,1.501 g,4.5 g,,6.9 g,,0%
Crema de cacahuate,"2,674 kj
(639 kcal)",30 g,18 g,49 g,,3 g,19 g
coconut oil - Dabur - 1,100 g,0 g,0 g,,0 g,,0 % vol
Patanjali Chyawanprash - 1 kg,,,,,,,0%
Thumbs up - coca cola - 2L,0 g,0 g,10 g,0 g,0 g,,0 % vol
Quick Chicken Pizza Instant Noodles - Wai Wai - 75 g,"2,025 kj
(484 kcal)",1 g,0.2 g,20.9 g,2.3 g,64 g,10 g
amul cow ghee - 200 ml,"3,753 kj
(897 kcal)",0 g,0.004 g,99.7 g,0 g,209 mg,
mountain dew - pepsi - 250 ml,"205 kj
(49 kcal)",0 g,12.3 g,0 g,,12.3 g,0.041 g
parle - G - 130g,,,,,,,0%
Kellogg's fruit loops - 250g,"10 kj
(100 kcal)",,,,,,
Haldirams nut crackers - 400 g,"920 kj
(220 kcal)",8 g,7 g,18 g,3 g,1 g,0.75 g
santoor - skin care center,,,,,,,0%
Coca cola - 300ml,"0 kj
(0 kcal)",0 g,11 g,0 g,0 g,11 g,0 g
Britannia Marie Gold - 1 kg,,,,,,,0%
balaji wafers - 40,"2,339 kj
(559 kcal)",,,,,,
ketchup,"837 kj
(200 kcal)",5 g,4 g,10 g,,2 g,0 g
Special Potato Chiwda - LaxmiNarayan - 400 g,"2,364 kj
(565 kcal)",9.6 g,37.92 g,44.08 g,5.4 g,17.93 g,1.11 g
pepsi black - pepsico - 250 ml,"0 kj
(0 kcal)",,,0 g,,0 g,0.013 g
Amul Masti Dahi - 85 g,"257 kj
(61 kcal)",4 g,4.4 g,3.1 g,,,
Amul Taaza - 200 ml,"244 kj
(58 kcal)",3 g,4.8 g,3 g,,0 g,
Maggi - Desi Cheesy - Nestle - 60.5 g,,,,,,,0%
KitchenFeast GARAM MASALA - KitchenFeast The Superb Taste - 100g,,,,,,,0%
KitchenFeast MEAT MASALA - KitchenFeast The Superb Taste - 100g,,,,,,,0%
Maggi rich tomato sauce - 200g,"573 kj
(137 kcal)",0.8 g,33.4 g,,1.4 g,30.4 g,
Fruitree,"615 kj
(147 kcal)",0.5 g,8 g,0 g,,8 g,
Amul Kool,"1,741 kj
(416 kcal)",3.2 g,12 g,2 g,,8 g,7.62 g
COW'S GHEE - Patanjali - 500 ml,,,,,,,0%
snap in basil - 3g,,,,,,,0%
Philadelphia original cheese spread - 280 g,"933 kj
(223 kcal)",4.67 g,0.001 g,20.3 g,4.67 g,73.3 mg,< 0.333 g
Rajam Badam drink mix,,,,,,,2%
Ponds - 1,"4 kj
(1 kcal)",,,2 g,,,
real fruit powee - dabur - 1,,,,,,,
B protein - british biologicals - 500g,,,,,,,0%
haldirams - 65g,"2,054 kj
(491 kcal)",4 g,67 g,23 g,,3 g,
1to3 Noodles - SHRI RAJA INDUSTRIES - 60 g,17 g,5.334 g,3.1 g,9.9 g,10.4 g,6.3 g,
mapro mixed fruit jam - 1 kg,"1,109 kj
(265 kcal)",0.1 g,68 g,0 g,0 g,67 g,0 g
bhujiya - chatkins - 400 g,"2,489 kj
(595 kcal)",14 g,42.5 g,41 g,0 g,0 g,
Soklet - Regal foods and Beverages - 50gm,"2,000 kj
(478 kcal)",25.5 g,52 g,19.25 g,,0 g,
Goat Cheese - Flanders Dairy Products - 500g,"858 kj
(205 kcal)",14 g,3.5 g,15 g,0 g,0 g,0 g
Paneer - Ananda - 200g,"1,293 kj
(309 kcal)",0 g,1.25 g,17.25 g,0 g,2.5 g,18.5 g
Harvest Gold 100% Whole Wheat Bread - 450g,"1,050 kj
(251 kcal)",9.3 g,51 g,1.19 g,6.4 g,3.6 g,1.2 g
Bagrry’s White Oats - 1kg,"582 kj
(139 kcal)",0 g,1.4 g,3 g,23.1 g,1 g,3.6 g
Mother Dairy Ultimate Dahi - 400g,"314 kj
(75 kcal)",3.7 g,5 g,4.5 g,0 g,0 g,0 g
Amul Gold - 1 litre,"314 kj
(75 kcal)",3 g,4.8 g,4.5 g,0 g,0 g,0 g
Diet Coke Mobile Pack - Coca-Cola - 500ml,"1 kj
(0 kcal)",0 g,0 g,0 g,0 g,0 g,0 g
Juice,,,,,,,0%
Jalapeno Slices - Tify - 190g,"21 kj
(5 kcal)",0.21 g,1.16 g,0.02 g,,,
Vikas Saxena - Oyes - 25g,"1,674 kj
(400 kcal)",9.3 g,76.8 g,6.5 g,,19.6 g,
milk - smartpaper - 1letter,,,,,,,0%
Naturamore - Naturamore nutraceutical - 350gm,"1,490 kj
(357 kcal)",40 g,50 g,2.38 g,,,0.3 g
die,,,,,,,0%
Ghiotti Fusilli - Ghotti - 500g,"1,222 kj
(292 kcal)",10 g,59.2 g,1.2 g,2.2 g,0.9 g,0.05 g
wafer cream rolls - tasty treat - 250g,"1,766 kj
(422 kcal)",4 g,70 g,14 g,,43 g,
Complan royale chocolate flavour - 500,"1,753 kj
(419 kcal)",,,,,,
Amla Candy - Markfed Sohna - 500 g,"1,429 kj
(341 kcal)",0.27 g,84.96 g,0.06 g,,64.74 g,
turmeric powder - Ramdev - 500 g,"1,477 kj
(352 kcal)",6.89 g,72.6 g,3.89 g,19.82 g,0 g,0.212 g
Maggi pazzta masala penne - Nestle - 65 g,"341 kj
(82 kcal)",11.6 g,68.3 g,2.4 g,4.3 g,5.2 g,3.115 g
Amul Belgian chocolate - 125g,34.8 g,,41.2 g,21.7 g,7.9 g,,0%
Greek yogurt wild raspberry,"460 kj
(110 kcal)",6.7 g,17 g,1.8 g,,3.6 g,0.44 g
tomato ketchup - 1kg,"42 kj
(10 kcal)",0 g,78 g,1 g,,70 g,1 g
5 star - Cadbury - 5rs,,,,,,,0%
Amberella chutney - mc curtie - 450 g,0.1 g,0.127 g,12 g,0.1 g,0.4 g,0.5 g,0 % vol
parle,,,,,,,0%
Del Monte - 250 g,"1,414 kj
(338 kcal)",0.38 g,82.9 g,0.13 g,7.5 g,73.7 g,0.012 g
Maggi Special Masala - 70 g,"1,711 kj
(409 kcal)",9.6 g,60.3 g,14.4 g,2.3 g,2.3 g,2.723 g
McVitie's Digestive,"2,046 kj
(489 kcal)",7.3 g,67.1 g,21.2 g,,16.1 g,0 g
patanjali Dant Kanti,,,,,,,0%
Lays Cream and Onion Patato Chips - Lay's - 45 gms,"2,276 kj
(544 kcal)",,51.6 g,34 g,,7.8 g,1.885 g
Modern Brown Bread - 300g,,,,,,,0%
Cadbury Choco Creme Oreo - 300 g,"2,008 kj
(480 kcal)",,0.2 g,19.7 g,37.8 g,70.3 g,5.5 g
Britannia Multi Grain Bread - 400 g,"1,088 kj
(260 kcal)",47 g,1.5 g,4 g,0 mg,2 g,1.5 g
6 g,"1,423 kj
(340 kcal)",2.5 g,82 g,0.2 g,,64 g,
Tata Salt - 100g,"0 kj
(0 kcal)",0 g,0 g,0 g,0 g,0 g,98.298 g
food oil - freedom - 5000 ml,,,,,,,0%
Garlic 100% Veggie Chips - SnackWise - text,"1,670 kj
(400 kcal)",16.7 g,0 g,0 g,13.3 g,0 g,0.296 g
Handmade Chocolate Orange Honeycomb - Aldi - 250g,"1,870 kj
(447 kcal)",2.6 g,81 g,12 g,0.7 g,64 g,0.53 g
Dr. Oetker Funfoods -,,,,,,,2.40%
8.90106E+12,"8 kj
(2 kcal)",1 g,1 g,2 g,,1 g,1 g
Garlic & Herbs Buttery Spread - Amul - 100g,"2,919 kj
(697 kcal)",0.5 g,0 g,77.3 g,0 g,0 g,0 g
Idiyappam - Adyar Annapoorna - 5,"1,544 kj
(369 kcal)",6.7 g,82.3 g,1.4 g,0.5 g,0 g,0 g
Haldiram's Lite Chiwda - 57 g,"2,268 kj
(542 kcal)",8.02 g,56.34 g,31.63 g,3.86 g,2.16 g,1.775 g
mini soya chunks(BARI) - 50gm,0.111 g,,,0 g,52 g,13 g,19.6 mg
real litchi,,,,,,,1.17%
Tetley green tea ginger mint,,,,,,,0%
whole wheat bread - nutribee - 300g,,,,,,,0%
Aloo bhujia - Haldiram - 200 gm,"2,351 kj
(562 kcal)",8.68 g,46.1 g,38.12 g,0.83 g,0.25 g,1.562 g
Bagrry's - 500g,"1,690 kj
(403 kcal)",9.67 g,,6 g,10.7 g,5 g,
cheese balls - time out - 55g,2.32 g,0.131 g,46.32 g,,3.56 g,,0%
Masala Oats - Peppy Tomato - Saffola - 39g,"1,680 kj
(402 kcal)",10.8 g,71.3 g,8.21 g,12.6 g,7.18 g,
Soya Chips - Haldiram's - 25 g,"2,268 kj
(542 kcal)",14.36 g,42.05 g,35.11 g,0.88 g,3.76 g,1.585 g
O'Choco - PARLITE FOODS,"1,966 kj
(470 kcal)",6.5 g,74.5 g,16.2 g,,0 g,0 g
Queso - picon,"1,121 kj
(268 kcal)",10 g,6 g,23 g,,6 g,0.65 g
Caramel - Hershey's - 623 g,"1,218 kj
(291 kcal)",2.1 g,70.2 g,0.17 g,,55.3 g,0.39 g
Patanjali Mango Drink - 500ml,"264 kj
(63 kcal)",0.65 g,15.1 g,0 g,,,0.005 g
Lune De Miel Honey100,"0 kj
(0 kcal)",0 g,0 g,,,0 g,
"Ranch - Hidden Valley - 1,1.18L",,,,,,,0%
Nestle Nan,,0 g,,,,,
Ghee - Nambisan's - 200 ml,"8,160 kj
(1950 kcal)",,190 mg,908 g,,,0 g
Hide And Seek - Parle - 33g,"2,004 kj
(479 kcal)",5.9 g,103 g,0.4 g,,,
Hot Chocolate - Cadbury - 200g,,,,,,,0%
Garlic Paste - Mothers Recipie,,,,,,,0%
Puffcorn,"2,322 kj
(555 kcal)",6 g,56.2 g,34.5 g,,1 g,2.23 g
Eggee - Natural Farms - 5 pcs,"638 kj
(152 kcal)",13.35 g,0.7 g,10.7 g,,,
Qamar Dates - 5KG,"502 kj
(120 kcal)",1 g,0 g,0 g,3 g,29 g,0 g
Ritter Sport Mini Mix 18er Beutel,"2,297 kj
(549 kcal)",6.9 g,53 g,34 g,,50 g,0.21 g
saffola masala oats - 39g,"1,669 kj
(399 kcal)",10 g,68.2 g,9.5 g,9.5 g,6 g,6.096 g
Marie biscuits - Bisk Farm - 300gram,"1,728 kj
(413 kcal)",0 mg,4.74 g,13.01 g,0 g,2.06 g,67.25 g
Dry Cake - Pran - 350 g,"1,757 kj
(420 kcal)",25 g,0 g,21 g,60 g,11 mg,0.4 g
Bestprice Udon - Topvalu - 71g,"1,004 kj
(240 kcal)",50.8 g,1.8 g,6.2 g,,,
White peach mochi - K. Minamoto - 20g,,,,,,,0%
Maggi Atta noodle - Masala - 4 pack - 300g,"1,766 kj
(422 kcal)",12 g,60.6 g,14.6 g,6 g,2.8 g,1.1 g
Patanjali cream feast ( milk vanilla ) - 84 g,25 g,,34 g,12 g,5 g,3.6 g,0%
Ice cream stick (kulfi of pista malai flavour) - Amul - 1,"1,611 kj
(385 kcal)",,0 g,27.7 g,22.5 g,29.5 g,4.7 g
Tasti Smooshed Wholefood Balls - Berry Cashew & Cacao - 69g,"1,630 kj
(390 kcal)",7 g,62.4 g,12.2 g,8.5 g,48.4 g,0.022 g
OMG! Oh My Ganna Cumin Crush - Nutricane - 250 ml,"205 kj
(48 kcal)",0 g,9.14 g,0 g,,9.14 g,
Mcvities Butter Cookie 68 GR. - 68 g,"1,962 kj
(469 kcal)",24.9 g,6.2 g,18.2 g,68.9 g,1.8 g,
Roasted Dalia - Tip Top - 500 g,"1,473 kj
(352 kcal)",10 g,78 g,0 g,,,
Heeng ki tikiya - Dilbahar - 100g,,,,,,,0%
Seedless Dates - Lion - 200 g,"1,306 kj
(312 kcal)",2.51 g,77.61 g,0.23 g,6.64 g,69.21 g,0 g
Poha Mota - Rajdhani - 500g,"1,632 kj
(390 kcal)",,88 g,1 g,3 g,0 g,0.03 g
Pizza topping - Dr. Oetker - 100g,"831 kj
(198 kcal)",4.4 g,23 g,9.9 g,,21.3 g,
Potato Cheese Shotz - Mc Cain - 400 g,"967 kj
(231 kcal)",0 g,0 g,11.3 g,4.65 g,24.26 g,8.09 g
Mini Cookie Cake - Pillsbury - 66 g,"1,757 kj
(420 kcal)",4.2 g,67 g,15.3 g,,,1.09 g
Lite Mixture - Haldiram's - 42g,"2,109 kj
(504 kcal)",13 g,50 g,28 g,,2 g,
Whoopies - Haldiram's - 45g,"2,146 kj
(513 kcal)",,0.1 g,29 g,5 g,59 g,4 g
Cavins butterscotch milkshake - Cavin’s - 180ml,"456 kj
(109 kcal)",3.2 g,15 g,4 g,,10.6 g,
Dream LITE - Anmol - 200g,"2,100 kj
(502 kcal)",7.7 g,64 g,24 g,,8 g,
Mountain Dew - 1,"205 kj
(49 kcal)",0 g,12.3 g,0 g,0 g,12.3 g,0.041 g
Tandoori Chicken Masala - Everest,"895 kj
(214 kcal)",9 g,40 g,2 g,,,
Mixed Fruit - Minute Maid - 250 ml,"234 kj
(56 kcal)",0 g,14 g,0 g,,12 g,
Mad Angles Chaat Masti - Bingo - 90 g,"542 kj
(130 kcal)",,0.1 g,30.8 g,5.3 g,58.8 g,7.3 g
Mad Angles Tomato Madness - Bingo - 90 g,"541 kj
(129 kcal)",,0.1 g,31.9 g,5.3 g,55.4 g,8 g
Bounce Choco Twist - Sunfeast - 82 g,"1,954 kj
(467 kcal)",,0.1 g,15.9 g,36.9 g,74.3 g,6.8 g
Manchow instant soup - Ching's - 15g,"200 kj
(47 kcal)",0.6 g,10.8 g,0 g,,,2.977 g
Doritos Sweet Chilli Flavour - PepsiCo - 39 g,"2,096 kj
(501 kcal)",,0 g,23.9 g,5.5 g,65.2 g,6.3 g
West Indies' Hot 'n' Sweet Chilli - Frito-lay - 52g,"2,276 kj
(544 kcal)",,0.1 g,33 g,6 g,54.7 g,7 g
Bikaneri Bhujia - Kurkure - 18g,"2,623 kj
(627 kcal)",11.8 g,33.5 g,49.5 g,,1 g,2.596 g
Kesar Rasbari Barfi - Bikano - 1 kg,"833.03 kj
(199 kcal)",46.4 g,0 g,0.7 g,46.4 g,15 mg,
Perk - Cadbury - 14.3 g,"2,163 kj
(517 kcal)",1.8 g,0.2 g,25.8 g,45.9 g,67.6 g,3.6 g
Gulab Jamun - Gits - 100g,"1,757 kj
(420 kcal)",17 g,57 g,13.6 g,,18.2 g,0 g
Saffola Masala Oats - Classic Masala - 38 g,"1,605 kj
(383 kcal)",11 g,72.6 g,5.5 g,12 g,7.7 g,
Good Day Cashew Cookies Medium Pack - Britannia - 600 g,"2,109 kj
(504 kcal)",2 mg,10.2 g,24 g,0 g,2.7 g,65 g
Good Day Cashew Cookies - Britannia - 200 g,"2,109 kj
(504 kcal)",9.5 mg,10 g,24 g,0 g,3 g,65 g
GoodDay Choco Chip - Britannia - 100 g,"2,063 kj
(493 kcal)",0 mg,9.7 g,21 g,0 g,3.7 g,71 g
Sandwich Chocolate and Vanilla - Kwality Wall's - 57 g,"1,180 kj
(282 kcal)",0.877 g,0.018 g,7.89 g,24 g,48.1 g,5.44 g
bru coffee - 100,0 g,0 g,0 g,0 g,0.2 g,0 g,0 % vol
Cassatta - Kwality Wall's - 70 g,"999 kj
(239 kcal)",2.29 g,0 g,11.1 g,16.1 g,27.6 g,5.57 g
Chorizo Barbecue - Noel - 300 g,"2,000 kj
(478 kcal)",20 g,2.7 g,43 g,0 g,1.4 g,2.8 g
Caulier Tripel 33 CL Fles -,"4 kj
(1 kcal)",0.01 g,0.5 g,0.5 g,,0.02 g,0.01 g
Fromage d'Abbaye Belge -  - 150 g,"1,351 kj
(323 kcal)",24 g,0.5 g,25 g,,0 g,1.7 g
Hemp beer - Cannabia - 33 cl,,,,,,,5 % vol
Achards de légumes - Royal Bourbon - 200 g,"724 kj
(173 kcal)",4.48 g,17.62 g,9.4 g,,1.65 g,0.5 g
Roger Vidal,"1,741 kj
(416 kcal)",13 g,1.4 g,40 g,,0.5 g,1.8 g
Knacks x10 350g prix choc - Auchan - 350 g,"1,151 kj
(275 kcal)",12 g,0.9 g,25 g,0.5 g,0.9 g,1.8 g
saunf,,,,,,,0%
super muesli no added sugar - yogabar - 700g,"1,778 kj
(425 kcal)",17.4 g,54.9 g,21.6 g,15.1 g,1.8 g,0.15 g
cod liver oil capsules - sanofu - 110,,,,,,,0%
Good day cookies,"2,121 kj
(507 kcal)",7.4 g,68 g,7.4 g,,21.4 g,
Roasted Peanuts plain,"2,816 kj
(673 kcal)",25.8 g,12.2 g,57.9 g,,0 g,0 g
SUHANA MISAL MASALA,,,,,,,12.50%
Cow Ghee - Soul Flavor (Modicare) - 1 Kg,99.7 g,,0 g,,0 g,,0%
Coconut Oil - Fruit of the Earth - 500gm,,,,,,,0%
Biscute - good,,,,,,,0%
8.90801E+12,,,,,,,0%
Ching's - 15g,"1,390 kj
(331 kcal)",8.67 g,72 g,1 g,,16 g,
Bournvita biscuit - Cadbury,"1,912 kj
(457 kcal)",7.3 g,73.6 g,15.3 g,,30 g,0.902 g
Mayi - 200,"209 kj
(50 kcal)",65 g,91 g,646 g,64 g,64 g,31 g
Dijon Mustard - Delouis Fils - 200g,"820 kj
(198 kcal)",8 g,2 g,16 g,,2 g,6.1 g
CORIANDER POWDER KitchenFeast - KitchenFeast The Superb Taste - 100g,,,,,,,0%
Dabur,,,,,,,37%
Amul,"1,038 kj
(248 kcal)",4 g,29.3 g,12.8 g,0 g,23.2 g,0 g
parachute coco oil - 50 cl,,,,,,,0%
parachute - coconut oil - 100ml,"3,766 kj
(900 kcal)",0 g,0 g,100 g,0 g,0 g,0 g
Real Mixed fruit juice,"222 kj
(53 kcal)",0.2 g,13.4 g,0 g,,6 g,0 g
Glucon-D - 1kg,,,0 g,,0 g,,
Torti surimi - Menu Fraîcheur,"778 kj
(186 kcal)",4.2 g,17 g,11 g,,1.5 g,0.93 g
Filet de panga surgelé - 1 kg,"0 kj
(0 kcal)",,,,,,
Verka toned homogenized milk - 1 l,"244 kj
(58 kcal)","7,200 mg",2.9 g,3 g,3.9 g,1.9 g,4.8 g
Masala Cuppa Noodles - nestle - 70g,"1,854 kj
(443 kcal)",8.3 g,59.2 g,19.2 g,3.3 g,3.2 g,3.39 g
chilli powder - Ramdev - 500 g,"1,820 kj
(435 kcal)",14.12 g,51.14 g,19.33 g,31.07 g,6.89 g,1.002 g
Little hearts - Britannia,"2,042 kj
(488 kcal)",7 g,70 g,24.5 g,,20 g,0 g
multi millet chikki,,,,,,,0%
Mineral Water -,,0.004 g,,,,,0%
Rio Mango Alfonso flavour,"247 kj
(59 kcal)",0.07 g,14.7 g,0 g,,14.7 g,0 g
Bounty minis - Mars nederland - 427.5g,"586 kj
(140 kcal)",,,7.4 g,,14.1 g,0.07 g
Maaza -,"226 kj
(54 kcal)",0 g,13.5 g,6 g,,13 g,1 g
Knorr Manchow veg - 12 g,"1,390 kj
(333 kcal)",5 g,71.7 g,3.33 g,3.33 g,20.8 g,
manchurian rings - lite-n-fit - 80g,"2,084 kj
(498 kcal)",2 g,0 g,26 g,60 g,0 mg,3 g
Caillé de brebis,"423 kj
(101 kcal)",5.4 g,4.4 g,6.8 g,,4.4 g,0.2 g
Cinnamon Toast Crunch Cereal - General Mills,"1,753 kj
(419 kcal)",0 mg,4.84 g,9.68 g,0 g,3.23 g,80.65 g
Dairy milk,"2,234 kj
(534 kcal)",8.1 g,60.4 g,28.9 g,,57.3 g,0.156 g
Kissan Fresh Tomato Ketchup - 950gm,,,,,,,28%
Protinex Original - 250 g,,,,,,,0%
Frutti di Bosco Confettura extra 50% - Menz&Gasser,"1,013 kj
(242 kcal)",0.5 g,58 g,0.3 g,,50 g,0.1 g
poprings - balaji - 30g,"2,054 kj
(491 kcal)",6.6 g,64.9 g,22.8 g,,3.1 g,
Haldiram's Moong Dal - haldirams - 18,"1,992 kj
(476 kcal)",21.31 g,50.66 g,20.93 g,7.52 g,0 g,990.6 g
Chocos Moons & Stars - Kellogg's - 28.6g,"1,632 kj
(390 kcal)",8.6 g,83.9 g,3 g,3.5 g,30 g,0.4 g
Red bull energy drink - 350ml,"5 kj
(7 kcal)",2 g,11 g,2 g,3 g,10 g,5 g
maaza - Hisdustan Unilever Limited - 600 ml,"226 kj
(54 kcal)",0 g,13 g,13.5 g,,10 g,0 g
Hide & Seek Cashew Butter - Parle - 150g,"2,134 kj
(510 kcal)",,< 0.15 g,24 g,21 g,66.6 g,6.8 g
Dabur Chyawanprash - 575g,"500 kj
(500 kcal)",5 g,55 g,14.3 g,0 g,33.3 g,0 g
Honey - Dabur - 250g,"1,339 kj
(320 kcal)",0 g,80 g,0 g,0 g,80 g,0.043 g
Mélange de bonbons - Boni - 600 g,"1,335 kj
(319 kcal)",5.8 g,73.4 g,0.2 g,,51.8 g,0.05 g
Pura keto -,"444 kj
(106 kcal)",9 g,2 g,5 g,,0 g,
Peanut butter - Muscle blaze Bgreen,"2,590 kj
(618 kcal)",38 g,12 g,45.5 g,,,
100% Moong and Edmame spaghetti - pink harvest farms - 200g,"774 kj
(185 kcal)",21.2 g,18 g,2.95 g,10 g,3.54 g,0.005 g
Natura RAMSONS -  - 100ml,,,,,,,0%
Unpolished Pulses (Mix Pulses) - Patanjali Ayurved Ltd. - 500g,1.96 g,0 g,0 g,,23.22 g,9.83 g,0%
FAREX - 1,,,,,,,0%
Dairy Milk Silk minis,"2,272 kj
(543 kcal)",7.8 g,58.5 g,31.1 g,,55.5 g,0.151 g
Hangyo Belgian Choclate Icecream,"1,017 kj
(243 kcal)",4.8 g,31.9 g,10.7 g,,23.1 g,0 g
Paper Boat,"201 kj
(48 kcal)",0 g,12 g,0 g,,5 g,0 g
Minute Maid Orange Juice,"226 kj
(54 kcal)",0 g,13.6 g,0 g,,11 g,0 g
Tropicana Apple Juice,"197 kj
(47 kcal)",0.2 g,11.5 g,0 g,,0 g,
Santra,"224 kj
(53 kcal)",0 g,13.4 g,0 g,,8.74 g,0 g
Misso,"418 kj
(100 kcal)",2 g,20 g,50 g,,4 g,0 g
Assam tea - strong & refreshing,"1,393 kj
(332 kcal)",,,,,,
asparagus - annai aravindh - 50g,,,,,,,0%
Cold pressed Coconut oil - Soul flavours - 1 Litre,,,,,,,0%
mixed fruit granola - Fit and Flex - 25 g,,,,,,,13.40%
fresh,,,,,,,0%
aachi,,,,,,,0%
Tomato Ketchup - Maggi - 22,"582 kj
(139 kcal)",1.2 g,33.5 g,0 g,,30.8 g,2.565 g
Dried Cranberries - Healthfull - 200g,"1,416 kj
(338 kcal)",0.75 g,82.33 g,0.69 g,,71.42 g,
Maggie Pazzta Chese Macaroni - Maggi,"1,469 kj
(351 kcal)",11.5 g,68.3 g,3.5 g,,2.5 g,1.347 g
Munch - Nestle - 12.5 g,"1,833 kj
(438 kcal)",5.7 g,54.4 g,22.8 g,2.8 g,29.7 g,47.498 g
epigamia spreads - DRUM Foods - 250 g,"2,360 kj
(566 kcal)",30.5 g,16.5 g,46.5 g,35 g,"92,500 mg",
Coconut oil - Simply Nature - 414 ml,"3,586 kj
(857 kcal)",0 g,0 g,100 g,0 g,0 g,0 g
Fanta cocktail de fruits,"222 kj
(53 kcal)",0 g,13 g,0 g,,13 g,0.25 g
PACK 4X50CL LAIT CROISSANCE CANDIA,"272 kj
(65 kcal)",2.6 g,8 g,2.5 g,,2.2 g,
Amul - 500 g,"2,653 kj
(634 kcal)",,2.4 mg,70 g,0 g,1 g,0 g
Fun Foods Chocolate Spread Fudge - Dr.Oetker - 350 g,"1,517 kj
(362 kcal)",5.2 g,55.4 g,13.4 g,,46.5 g,
Quinoa chips,"2,008 kj
(480 kcal)",6.8 g,63.7 g,21 g,,4 g,1.9 g
catch chat masala,,,,,,,0%
Peanut Butter (beurre de cacahouète),"2,661 kj
(636 kcal)",25.6 g,20.3 g,50.3 g,,7.7 g,0 g
Britannia Nutrichoice Digestive - britannnia - 250g,21 g,6 g,2.5 g,10 g,14.5 g,68 g,8 g
Bourbon - Britannia - 120g,"2,042 kj
(488 kcal)",72 g,7.7 g,20 g,0 g,2.2 g,37.5 g
Vedica - Bisleri - 1L,"0 kj
(0 kcal)",0 g,0 g,1 g,,0 g,0 g
KitKat - Nestle - 55g,"2,167 kj
(518 kcal)",8 g,63.8 g,25.7 g,2.6 g,48.7 g,
Shahi Pradhan Gold Special Mix Tea - 250 gm,"454 kj
(108 kcal)",21.43 g,3.826 g,0.829 g,,,
Guava delight - Tropicana,"238 kj
(57 kcal)",0 g,14.4 g,0 g,,13.5 g,0 g
Chips banane épicées - Kwality market,"1,688 kj
(403 kcal)",3.6 g,,34.64 g,6.4 g,2 g,
Maxirich - cipla - 30ml,,,,,,,0%
Glucose Biscuits - Sunfeast - 100 g,"1,879 kj
(449 kcal)",8.3 g,75 g,12.9 g,,29.2 g,
elaichi rusk - madhurima - 500g,,,,,,,0%
refined soya bean oil - fortune - 1 l,,,,,,,0%
Kingfisher ultra,,,0 g,0 g,,,
Centerfresh Soft Chews,"1,590 kj
(380 kcal)",0.06 g,92.4 g,1.21 g,,68 g,0 g
Kamlesh - SENSODENT-K - 50g,50 g,,,,,,0%
Malasa Masti - 40 g,"1,339 kj
(320 kcal)",6 g,30 g,20 g,2 g,2 g,1.1 g
Haldiram's Bhujia - 460 g,"2,430 kj
(581 kcal)",20 g,39.5 g,40.8 g,5 g,3.9 g,
Pepsi - The Coca-Cola Company - 750ml,"180 kj
(43 kcal)",,,,,,
Lotte Choco Pie,"1,838 kj
(439 kcal)",3.929 g,67.857 g,17.143 g,,33.929 g,0.536 g
Kissan Mix Fruit Jam - Kisaan - 500 g,"1,192 kj
(285 kcal)",0.5 g,71 g,0 g,0 g,65 g,0 g
11131861,,,,,,,0%
Roasted Crushed Peanuts - Haldiram's,"2,088 kj
(499 kcal)",12.5 g,55 g,25.5 g,,10.5 g,2.43 g
Moments - Ferrero Rocher,"2,176 kj
(520 kcal)",7.8 g,55.5 g,29.6 g,,29.6 g,0 g
Cornflour - Brown & polson - 100g,0.1 g,0.3 g,91.3 g,,0.9 g,0 g,0.023 g
Sugar - Madhur - 5kg,0 g,,0 mg,,,99.4 g,0 g
Khatta Meetha - Bikano - 1kg,36.1 g,8.6 g,49.2 g,,0 g,14 g,1.272 g
Rusk Real Premium Elaichi - Parle - 400g,9.1 g,,25.1 g,,7.6 g,,0%
St. D'vence moisturizer winter edition - 300ml,,,,,,,0%
Sandwich bread - 100g,1 g,,,0.2 g,,,0%
Milder Rahmjoghurt Haselnuss,"711 kj
(170 kcal)",3.1 g,13.9 g,11.2 g,,13.4 g,
Golden corn,"1,505 kj
(359 kcal)",16.1 g,66.87 g,3.1 g,,0.4 g,0 g
Kellogg's Chocos - 12,"1,619 kj
(387 kcal)",9 g,83.6 g,2.9 g,5 g,30 g,0.825 g
a+ slim - Nestle - 1 l,"34 kj
(8 kcal)",3 g,5 g,0.2 g,0 g,5 g,0.125 g
Cheese slices - Amul - 200g,25 g,20 g,1.4 g,,,,
Marie light - 200g,11.7 g,,,5.8 g,8.5 g,,0%
Dairy milk milk chocolate - Mondelez,"2,234 kj
(534 kcal)",8.1 g,60.4 g,28.9 g,,57.3 g,0.156 g
Chilly Chow Cuppa Noodles - nestle - 70 g,"1,793 kj
(428 kcal)",8.571 g,57.143 g,18.571 g,2.7 g,2.857 g,3.321 g
act2 popcorn -,"2,180 kj
(521 kcal)",9 g,56 g,28.9 g,,0.3 g,0 g
