food_item,calories,proteins,carbohydrates,fibers,sugars,sodium
Toaster Pastries,438,5.4,64.4,1.5,25.4,380
Toaster Pastries,391,4.6,71.8,1.1,31.2,320
Toaster Pastries,417,4.6,69.0,1.4,32.3,343
Toaster Pastries,397,4.2,72.0,1.0,36.0,320
Toaster Pastries,384,4.9,70.4,2.1,35.0,437
Toaster Pastries,399,4.2,71.6,1.0,35.4,320
Toaster Pastries,390,4.1,71.7,1.3,30.3,331
Toaster Pastries,390,4.0,72.4,1.3,31.7,315
Toaster Pastries,392,6.2,69.6,1.4,36.5,410
Toaster Pastries,398,4.7,71.1,1.1,33.0,355
Tortillas,218,5.7,44.6,6.3,0.9,45
Tortillas,222,5.7,46.6,5.2,19.0,11
Tortillas,306,8.2,49.4,3.5,3.7,736
Tortillas,325,8.7,55.6,3.3,19.0,478
Udi'S,310,8.0,55.1,3.6,9.5,707
Udi'S,298,5.4,51.2,5.5,11.3,515
Udi'S,309,7.3,49.1,4.9,9.8,510
Udi'S,329,11.8,44.3,11.2,4.2,507
Usda Commodity,400,8.5,62.5,7.1,19.0,1410
Usda Commodity,361,9.1,70.6,3.5,19.0,1360
Van'S,215,3.3,40.3,1.5,4.1,331
Van'S,248,3.0,40.5,3.33,1.7,508
Van'S,471,7.6,67.6,3.33,19.0,730
Waffles,289,6.9,44.2,2.4,4.5,663
Waffles,309,7.4,48.4,2.6,4.4,710
Waffles,298,6.7,45.4,2.4,5.0,682
Waffles,297,5.8,45.7,1.5,13.1,529
Waffles,263,2.7,43.1,1.4,1.7,505
Waffles,312,7.2,49.3,2.4,5.0,730
Waffles,285,6.5,43.0,2.2,4.9,638
Waffles,291,7.9,32.9,3.33,19.0,511
Wonton Wrappers,291,9.8,57.9,1.8,19.0,572
