#{"t_start": 1749475777.1533613, "env_id": "None"}
r,l,t
1.45075,7,5.723086
0.613147,7,5.73209
1.104411,7,5.743095
1.217185,7,5.752609
1.333742,7,5.762608
1.286198,7,5.772611
0.822934,7,5.781608
0.995004,7,5.791611
1.08523,7,5.800606
1.25029,7,5.808616
0.917534,7,5.81961
1.156632,7,5.828606
1.3403,7,5.839616
0.887566,7,5.849615
1.257267,7,5.857776
0.900189,7,5.867778
1.226317,7,5.877776
0.585949,7,5.886777
0.643878,7,5.896776
0.890114,7,5.904774
0.246342,7,5.914403
0.845134,7,5.923405
1.367869,7,5.932408
1.120503,7,5.941412
1.121988,7,5.950918
1.102298,7,5.960927
1.047519,7,5.970926
0.335586,7,5.979927
0.73759,7,5.98893
1.137923,7,9.825157
1.041744,7,9.834155
0.748693,7,9.842164
1.16612,7,9.850163
1.375103,7,9.858676
1.169009,7,9.867676
1.322252,7,9.876673
1.153383,7,9.884675
1.219942,7,9.893675
1.150056,7,9.902675
1.215364,7,9.911673
0.87541,7,9.919674
0.843772,7,9.926676
0.94852,7,9.935675
0.33608,7,9.943677
0.743096,7,9.95068
1.364983,7,9.959194
1.022253,7,9.966189
1.098675,7,9.973807
1.007255,7,9.981809
1.130743,7,9.990808
1.034739,7,9.998807
0.840501,7,10.006809
1.03201,7,10.013806
1.072017,7,10.021807
0.925883,7,10.029809
1.082623,7,10.038814
1.091475,7,10.047817
1.119328,7,10.056326
0.951752,7,10.064324
0.608148,7,10.072325
0.535046,7,10.079329
1.185173,7,10.086326
0.99711,7,10.094327
1.497368,7,10.102327
0.822555,7,10.109326
0.703025,7,10.117324
0.395207,7,10.124325
0.879539,7,10.132329
1.392054,7,10.140332
1.32251,7,10.14833
1.15483,7,10.15584
1.359973,7,10.163836
0.89229,7,10.171838
0.800486,7,10.178838
1.023875,7,10.186838
0.300441,7,10.193835
1.247302,7,10.200836
0.834595,7,10.207838
1.131907,7,10.215836
1.382713,7,10.222836
0.864253,7,10.230838
0.458391,7,10.237839
-32.528023,7,10.244842
0.843652,7,10.251848
1.137047,7,10.26036
1.157381,7,10.26836
1.240286,7,10.276362
0.875226,7,10.28336
-0.446617,7,10.291362
1.079827,7,10.30036
0.184368,7,10.307365
0.669451,7,10.315363
1.022453,7,10.322363
0.660707,7,10.329363
1.152933,7,10.337363
1.428245,7,10.344367
0.994851,7,10.352368
0.835971,7,10.359879
1.362424,7,10.367878
0.940903,7,10.378879
0.291498,7,10.38988
1.431938,7,10.400878
0.951873,7,10.410881
0.821729,7,10.419879
1.140427,7,10.430879
0.639396,7,10.440885
-0.77846,7,10.449885
0.547972,7,10.459395
0.285937,7,10.469395
1.134925,7,10.478397
1.327234,7,10.487395
0.883465,7,10.498394
0.914334,7,10.508395
0.983024,7,10.517395
0.677663,7,10.525396
0.801354,7,10.533395
1.200836,7,10.5414
0.874068,7,10.549398
1.314912,7,10.556905
-0.08478,7,10.564906
0.704406,7,10.571907
1.360806,7,10.578906
1.072073,7,10.586906
1.310899,7,10.593907
0.721852,7,10.600908
0.140095,7,10.608906
1.143871,7,10.615907
0.927976,7,10.623909
0.986252,7,10.632904
1.02968,7,10.639913
0.923253,7,10.646915
0.969691,7,10.655418
1.053002,7,10.662419
0.996019,7,10.670418
0.947899,7,10.677418
1.067104,7,10.685418
0.937064,7,10.692418
1.174029,7,10.700418
1.416218,7,10.707419
0.792798,7,10.715416
1.133526,7,10.722416
0.928904,7,10.73242
1.298318,7,10.741422
1.13525,7,10.748423
-0.202871,7,10.755936
1.160899,7,10.763934
0.51688,7,10.770936
1.33702,7,10.778937
1.019048,7,10.786936
1.050369,7,10.795936
0.903076,7,10.802937
1.208877,7,10.813937
0.420524,7,10.821938
0.649247,7,10.830937
0.788495,7,10.837935
0.463032,7,10.84594
0.87107,7,10.853449
1.27596,7,10.861453
-0.070094,7,10.869459
0.866731,7,10.878461
1.090808,7,10.886455
1.442066,7,10.893456
1.453685,7,10.901454
1.302821,7,10.909456
1.392465,7,10.916456
0.970976,7,10.925455
0.191661,7,10.932453
1.364659,7,10.941461
1.010764,7,10.948462
0.895574,7,10.956524
0.571585,7,10.963519
1.052764,7,10.974521
1.190338,7,10.983525
0.66926,7,10.994525
1.325443,7,11.004522
0.850466,7,11.015524
1.403623,7,11.025522
1.172209,7,11.034525
0.671361,7,11.045536
1.095618,7,11.055055
0.705805,7,11.065052
0.794557,7,11.075051
0.902154,7,11.083051
1.24723,7,11.094051
0.613113,7,11.105051
0.316258,7,11.115057
0.696871,7,11.126049
1.180861,7,11.135051
0.745415,7,11.148057
0.897133,7,11.157573
0.950192,7,11.167573
-0.127982,7,11.176576
1.025442,7,11.188573
0.841054,7,11.198573
1.185662,7,11.209574
1.050259,7,11.219578
0.974305,7,11.230574
1.014632,7,11.242583
0.911993,7,11.25258
0.995263,7,11.263092
-0.169207,7,11.272087
0.674178,7,11.281087
1.406026,7,11.289087
0.639006,7,11.298084
0.583509,7,11.308086
0.471721,7,11.320087
1.173141,7,11.330085
0.368649,7,11.34109
1.343341,7,11.351093
0.216836,7,11.359606
1.179563,7,11.367611
0.82705,7,11.377609
1.068744,7,11.387606
0.678911,7,11.397607
1.162078,7,11.408607
1.382961,7,11.420607
0.335921,7,11.431606
0.639769,7,11.444616
1.190642,7,11.457129
0.672249,7,11.470128
0.689411,7,11.48313
0.292228,7,11.494128
1.312325,7,11.507127
1.194259,7,11.518129
1.005528,7,11.529132
1.354275,7,11.541133
0.632156,7,11.551802
1.333084,7,11.560313
1.159744,7,11.569314
1.181122,7,11.578313
1.212107,7,11.589314
1.253697,7,11.600313
0.49481,7,11.613313
0.309592,7,11.621312
1.286122,7,11.629312
1.140647,7,11.636311
1.136164,7,11.644314
1.190529,7,11.651313
0.798081,7,11.658823
0.763037,7,11.666823
0.039756,7,11.674823
1.31518,7,11.681823
1.098727,7,11.689823
1.281176,7,11.696825
0.648302,7,11.704821
1.073526,7,11.731823
0.891295,7,11.745832
1.355276,7,11.753831
0.920077,7,11.761341
1.193952,7,11.768342
1.15641,7,11.77634
1.159851,7,11.783345
0.516843,7,11.79034
1.177844,7,11.798343
0.940173,7,11.806342
1.012665,7,11.813341
0.891401,7,11.820342
0.600195,7,11.828345
1.222161,7,11.836342
1.180025,7,11.844352
1.168161,7,11.851347
1.310645,7,11.858858
0.732,7,11.86586
0.696064,7,11.873858
0.895426,7,11.881855
1.089187,7,11.888857
1.04384,7,11.897856
1.253934,7,11.904858
1.191751,7,11.912855
0.844701,7,11.920857
0.920325,7,11.927857
1.261863,7,11.935855
0.271101,7,11.943864
1.044879,7,11.950863
1.134852,7,11.958386
1.36273,7,11.965385
-0.294761,7,11.973021
0.878591,7,11.980021
1.064834,7,11.989023
1.453276,7,11.996021
0.898977,7,12.004019
1.193426,7,12.012017
0.604193,7,12.019017
0.289828,7,12.026017
0.396352,7,12.034022
1.373947,7,12.041027
1.274699,7,12.048027
1.359735,7,12.055535
1.273582,7,12.063535
1.090132,7,12.071535
0.809202,7,12.078535
1.054159,7,12.086534
0.379249,7,12.093536
1.001665,7,12.101533
0.383403,7,12.109535
1.121531,7,12.116534
1.379993,7,12.124534
1.269991,7,12.131532
0.472189,7,12.139539
0.390774,7,12.147541
0.168877,7,12.155053
1.200495,7,12.162056
0.998631,7,12.170051
1.134075,7,12.177053
1.141751,7,12.18505
0.988946,7,12.193052
0.657296,7,12.202052
1.155553,7,12.209052
0.929647,7,12.217052
0.621974,7,12.224052
1.422268,7,12.232052
0.932064,7,12.239054
0.114222,7,12.246058
1.138515,7,12.253058
0.036272,7,12.260568
1.438584,7,12.268567
1.143141,7,12.276566
0.978766,7,12.283567
0.769051,7,12.291567
0.499452,7,12.299564
1.149022,7,12.307567
1.064702,7,12.314567
1.007386,7,15.997985
0.728452,7,16.005981
1.36768,7,16.012983
0.770364,7,16.021982
0.823367,7,16.029986
0.682311,7,16.037981
1.479766,7,16.045986
1.256165,7,16.052986
1.258989,7,16.060495
1.124342,7,16.068498
0.767638,7,16.075497
1.419707,7,16.084498
1.168657,7,16.091496
1.244654,7,16.098495
1.142738,7,16.105496
1.113529,7,16.113496
1.162321,7,16.120498
1.148025,7,16.127495
0.804953,7,16.135497
1.086935,7,16.144506
1.208734,7,16.151501
1.068453,7,16.162014
1.162947,7,16.171014
0.341161,7,16.179015
0.65007,7,16.187016
1.154746,7,16.195015
1.145837,7,16.204013
0.572281,7,16.212016
0.846117,7,16.219014
1.140989,7,16.228013
1.134443,7,16.238014
1.192112,7,16.247024
0.693481,7,16.255025
1.147239,7,16.264537
0.701638,7,16.275535
1.259916,7,16.285537
0.86006,7,16.294535
0.351189,7,16.303535
-1.512132,7,16.313537
0.864774,7,16.322534
1.036178,7,16.330534
0.739284,7,16.338535
1.407399,7,16.346543
0.903629,7,16.354546
1.204045,7,16.363055
1.223168,7,16.371057
1.429774,7,16.379053
0.707633,7,16.387053
1.378739,7,16.395056
