pop_size,n_gen,cxpb,mutpb,overall_score,critical_score,num_foods,exec_time
93,78,0.7366869579732327,0.6118764001091077,55.0,40.0,8,50.12296390533447
75,88,0.7891665505707182,0.33998996632720113,75.0,80.0,7,32.53436732292175
65,73,0.7667417222278043,0.35714672716877627,55.0,40.0,8,21.940435886383057
57,71,0.71128231580542,0.5887995089067299,50.0,40.0,8,9.883304357528687
84,87,0.7001557531682028,0.696884623716487,62.5,46.666666666666664,8,76.2548987865448
87,61,0.8223306320976562,0.30282652208788696,70.0,66.66666666666667,8,23.79373049736023
79,98,0.8049549320516778,0.45994438868610216,67.5,60.0,8,39.65996766090393
82,65,0.7465542680860608,0.3362425738131283,67.5,46.666666666666664,7,34.726606130599976
57,86,0.8215089703802877,0.3682096494749166,50.0,40.0,8,8.732530355453491
93,67,0.8897771074506666,0.6862528132298237,67.5,60.0,8,40.176979541778564
63,75,0.7195344228012768,0.5736932106048627,42.5,20.0,8,28.815367460250854
61,93,0.799035382022254,0.31375540844608735,55.0,40.0,7,26.43166947364807
68,66,0.7517559963200033,0.5650089137415928,57.5,46.666666666666664,8,19.225073099136353
56,55,0.7415883325736378,0.5270801311279966,55.0,40.0,8,34.61939716339111
83,67,0.8550265646722229,0.6757995766256756,77.5,73.33333333333333,8,73.09553337097168
90,63,0.8454543991712842,0.43061630752233415,60.0,40.0,8,17.629165172576904
68,72,0.8041668520051647,0.6844688097397396,77.5,73.33333333333333,8,31.85785484313965
75,65,0.8494640220274762,0.5158768529556319,70.0,66.66666666666667,8,20.677998304367065
78,75,0.8930510614528276,0.5428136990746738,55.0,40.0,8,16.33318328857422
83,64,0.7330533878126004,0.30625456269647755,62.5,60.0,7,15.652369499206543
63,73,0.7789763036351139,0.4173952698872152,85.0,93.33333333333333,8,25.65126395225525
65,66,0.84226839054973,0.6160702162124823,62.5,46.666666666666664,8,35.59416747093201
59,91,0.7716931457088545,0.34634762381005185,65.0,40.0,8,20.05908441543579
61,58,0.8246596253655116,0.43235920994105964,72.5,60.0,8,29.063196182250977
77,73,0.8331844713234993,0.5365191150830908,67.5,46.666666666666664,7,53.658918380737305
76,76,0.8122486851695402,0.4531707499015159,52.5,20.0,7,62.85397386550903
68,52,0.8521570097233795,0.5245108790277985,65.0,40.0,7,32.75144982337952
68,88,0.7080867179076862,0.5842651558743149,67.5,60.0,8,54.909958600997925
80,91,0.787867300373154,0.38068768093415845,60.0,40.0,8,23.920603036880493
86,88,0.7950740446364224,0.5253102287905534,60.0,40.0,8,42.44803714752197
58,79,0.727866290881175,0.5417669517111269,67.5,73.33333333333333,7,44.021018743515015
69,92,0.7406122449469539,0.6771414282231923,65.0,40.0,8,53.811333894729614
61,71,0.8760935678030516,0.5497416192535173,60.0,66.66666666666667,8,21.652750253677368
60,77,0.8607344153798229,0.3746280235544143,55.0,40.0,8,32.69939994812012
84,60,0.7648690042010547,0.3488351818802693,72.5,73.33333333333333,8,71.50994896888733
79,88,0.8813656883091509,0.4088528997538541,80.0,93.33333333333333,8,66.822998046875
81,62,0.8721461166512687,0.30278085221247625,75.0,66.66666666666667,8,30.598276615142822
62,76,0.7834822006297558,0.3888431241882921,65.0,66.66666666666667,7,31.009514331817627
78,64,0.7336582084345861,0.38750568782922806,60.0,40.0,7,30.16531229019165
78,90,0.7807672342116081,0.32595689884359264,62.5,46.666666666666664,8,24.068241357803345
66,88,0.7994497011784771,0.4203513239267078,47.5,20.0,8,11.90505599975586
71,98,0.8953229911665306,0.4644148053272925,77.5,73.33333333333333,7,37.095584869384766
77,86,0.7690142496053366,0.5537405378805456,80.0,93.33333333333333,8,62.871970653533936
56,93,0.7895566329146183,0.5211572356285311,42.5,20.0,7,9.439200639724731
58,60,0.7739308912122809,0.39686397531097034,62.5,46.666666666666664,8,36.487236976623535
92,73,0.7940601268892077,0.6933692563579371,75.0,66.66666666666667,8,49.086036682128906
76,60,0.8632863746438768,0.6193380499938204,55.0,40.0,8,42.331594944000244
63,55,0.8391625613581764,0.6433435219254879,60.0,40.0,8,43.990103006362915
